ID;Authority;AuthorityCountry;Date;Fine;OrganizationPublished;Specific;OrganizationMatched;OrganizationCountry;OrganizationSector;OrganizationRevenue;OrganizationEmployees;OrganizationStatus;OrganizationDomestic;Articles;Type;Summary;Source
506;Spanish Data Protection Authority (aepd);Spain;04.01.21;54000;Vodafone Espana, S.A.U.;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 (1) d), f) GDPR;Non-compliance with general data processing principles;The data subject had concluded a contract with the controller (Vodafone Espana, S.A.U.). However, the products provided under this contract were not delivered in the name of the data subject, but in the name of a third party. Subsequently, the data subject contacted the company's data protection officer by e-mail in order to restore the accuracy of his/her data stored at Vodafone. However, no response was received to this request. When the data subject finally contacted the telecommunications company by telephone, he/she was addressed by the name of the third party. His/her inquiry was answered with a response that did not refer to his/her inquiry, but to the inquiry of the third party. According to the telecommunications company, the incident was caused by a defect in their system due to a system migration. The Spanish DPA (AEPD) initially fined Vodafone Espana, S.A.U. EUR 90,000, but the original fine was reduced to EUR 54,000 due to the timely payment and admission of guilt.;https://www.aepd.es/es/documento/ps-00415-2020.pdf
507;Norwegian Supervisory Authority (Datatilsynet);Norway;04.01.21;95500;Innovasjon Norge;Yes;Innovasjon Norge (Oslo);Norway;Finance & Insurance;166100000;658;Private;Yes;Art. 5 (1) GDPR, Art. 6 (1) GDPR;Insufficient legal basis for data processing;The Norwegian DPA (Datatilsynet) fined the national development bank Innovasjon Norge NOK 1,000,000 (EUR 95,500). The controller had carried out four credit checks on the data subject without any contractual basis for doing so. For this purpose, the bank had analyzed numerous financial data of the data subject over a period of three months without the data subject's consent.;https://www.datatilsynet.no/contentassets/004f43fe684445c29e4fc8393a9a714d/varsel-om-overtredelsesgebyr---innovasjon-norge.pdf
508;French Data Protection Authority (CNIL);France;07.12.20;7300;Perfomeclic;Yes;Perfomeclic;France;Advertising & Marketing;NA;NA;Private;Yes;Art. 5 (1) c), e) GDPR, Art. 14 GDPR, Art. 21 GDPR, Art. 28 GDPR;Insufficient legal basis for data processing;The French DPA (CNIL) imposed a fine of EUR 7,300 on the company Perfomeclic. The company had sent commercial advertising emails without a proof of prior consent and without sufficient information.;https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000042774286?isSuggest=true
509;Polish National Personal Data Protection Office (UODO);Poland;17.12.20;235300;ID Finance Poland Sp. z o.o.;Yes;"	Id Finance Poland Sp Z O O [ W Likwidacji ]";Poland;Finance & Insurance;3700000;50;Private;Yes;Art. 5 (1) f) GDPR, Art. 25 (1) GDPR, Art. 32 (1) b), d), (2) GDPR;Insufficient technical and organisational measures to ensure information security;The Polish DPA (UODO) imposed a fine of EUR 235,300 on ID Finance Poland Sp. z o.o. Due to an error while restarting a server, the settings of the software responsible for the server's security were reset, making the personal data of 140 699 customers publicly available. These data contained, for example, information about the first and last name, address, nationality or even marital status of the data subjects. The database located on this server was downloaded and deleted by an unspecified third party, who demanded a fee from the company for the return of the database. The DPA noted that the controller had taken insufficient technical and organizational measures to ensure the protection of the processing, even though there was a high risk for the data subjects due to the nature of the data processed.;https://uodo.gov.pl/decyzje/DKN.5130.1354.2020
510;Polish National Personal Data Protection Office (UODO);Poland;09.12.20;18850;TUiR Warta S.A.;Yes;Towarzystwo Ubezpieczen I Reasekuracji Warta S A;Poland;Finance & Insurance;668100000;2230;Private;Yes;Art. 33 (1) GDPR, Art. 34 (1) GDPR;Insufficient fulfilment of data breach notification obligations;An insurance agent hired by the controller had sent an email to unauthorized third parties in regard to insurance policies that contained personal data of two of the company's customers after they had mistakenly provided false email addresses. The leaked data included data such as the names, email adresses and postal addresses of the data subjects. The controller had not informed either the Polish DPA nor the data subjects about the data breach in a timely manner within 72 hours. The controller believed that there was no breach requiring notification because the data subjects themselves had mistakenly provided incorrect e-mail addresses. The Polish DPA states that this circumstance does not release the controller from its obligation to report this data breach in a timely manner.;https://uodo.gov.pl/decyzje/DKN.5131.5.20200
511;French Data Protection Authority (CNIL);France;05.01.21;20000;Nestor SAS;Yes;Nestor SAS;France;Services;NA;NA;Private;Yes;Art. 12 GDPR, Art. 13 GDPR;Insufficient fulfilment of information obligations;The French DPA (CNIL) fined the company Nestor EUR 20,000. The CNIL notes that the privacy policy provided during the registration process on the companys website did not contain the necessary information required by the GDPR. In addition, the controller provided insufficient information on data processing during app registration.;https://www.cnil.fr/fr/prospection-commerciale-sanction-de-20-000-euros-lencontre-de-la-societe-nestor
512;Polish National Personal Data Protection Office (UODO);Poland;01.11.19;1770;L. Sp. z o.o.;No;NA;NA;NA;NA;NA;NA;Yes;Art. 5 (1) a), f) GDPR;Non-compliance with general data processing principles;The Polish DPA (UODO) imposed a fine of EUR 1,770 on L. Sp. z o.o. for the video surveillance of a residential community, which was not in compliance with the provisions of the GDPR.;http://orzeczenia.nsa.gov.pl/doc/942DE6198F
514;Norwegian Supervisory Authority (Datatilsynet);Norway;06.01.21;9700;Lindstrand Trading AS;Yes;Lindstrand Trading AS;Norway;E-Commerce;NA;NA;Private;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The Norwegian DPA (Datatilsynet) has fined Lindstrand Trading AS EUR 9,700. The controller had carried out four credit checks on individuals and individual companies, although there was no legal basis for doing so.;https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/lindstrand-trading-as-far-overtredelsesgebyr/
515;Norwegian Supervisory Authority (Datatilsynet);Norway;07.01.21;7250;Gveik AS;Yes;Gveik AS;Norway;E-Commerce;NA;NA;Private;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The Norwegian DPA (Datatilsynet) fined Gveik AS EUR 7,250. The controller had carried out a credit check on an individual, although there was no legal basis for doing so.;https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/gveik-as-far-gebyr/
516;Estonian Data Protection Authority (AKI);Estonia;01.12.20;100000;Apotheka e-apteek;Yes;Apotheka e-apteek;Estonia;E-Commerce;NA;NA;Private;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The Estonian DPA (Andmekaitse Inspektsioon) fined three online pharmacies EUR 100,000 each for processing personal data without the consent of the data subjects. The data in question are prescriptions for medicines of the data subjects. Third parties were able to view another person's current prescriptions in the e-pharmacy environment without their consent, based only on access to their personal identification code. The DPA highlighted that while it must be possible to purchase prescription drugs for other people, it is the responsibility of the company to ensure that the processing of the personal data required for this purpose only takes place with the consent of the data subjects. The confirmation of another person that they may access the data, however, does not correspond to the voluntary consent of the prescription holder, since the e-pharmacy cannot check whether and for what purpose the consent was given and whether it was given voluntarily.;https://www.aki.ee/et/uudised/andmekaitse-inspektsioon-kohustas-e-apteeke-lopetama-koheselt-ligipaas-teise-inimese
517;Estonian Data Protection Authority (AKI);Estonia;01.12.20;100000;Sudameapteegi e-apteek;Yes;Sudameapteegi e-apteek;Estonia;E-Commerce;NA;NA;Private;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The Estonian DPA (Andmekaitse Inspektsioon) fined three online pharmacies EUR 100,000 each for processing personal data without the consent of the data subjects. The data in question are prescriptions for medicines of the data subjects. Third parties were able to view another person's current prescriptions in the e-pharmacy environment without their consent, based only on access to their personal identification code. The DPA highlighted that while it must be possible to purchase prescription drugs for other people, it is the responsibility of the company to ensure that the processing of the personal data required for this purpose only takes place with the consent of the data subjects. The confirmation of another person that they may access the data, however, does not correspond to the voluntary consent of the prescription holder, since the e-pharmacy cannot check whether and for what purpose the consent was given and whether it was given voluntarily.;https://www.aki.ee/et/uudised/andmekaitse-inspektsioon-kohustas-e-apteeke-lopetama-koheselt-ligipaas-teise-inimese
518;Estonian Data Protection Authority (AKI);Estonia;01.12.20;100000;Azeta.ee e-apteek;Yes;Azeta.ee e-apteek;Estonia;E-Commerce;NA;NA;Private;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The Estonian DPA (Andmekaitse Inspektsioon) fined three online pharmacies EUR 100,000 each for processing personal data without the consent of the data subjects. The data in question are prescriptions for medicines of the data subjects. Third parties were able to view another person's current prescriptions in the e-pharmacy environment without their consent, based only on access to their personal identification code. The DPA highlighted that while it must be possible to purchase prescription drugs for other people, it is the responsibility of the company to ensure that the processing of the personal data required for this purpose only takes place with the consent of the data subjects. The confirmation of another person that they may access the data, however, does not correspond to the voluntary consent of the prescription holder, since the e-pharmacy cannot check whether and for what purpose the consent was given and whether it was given voluntarily.;https://www.aki.ee/et/uudised/andmekaitse-inspektsioon-kohustas-e-apteeke-lopetama-koheselt-ligipaas-teise-inimesee
519;Data Protection Authority of Niedersachsen;Germany;08.01.21;10400000;notebooksbilliger.de;Yes;notebooksbilliger.de AG;Germany;E-Commerce;736000000;370;Private;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The DPA of Lower Saxony (LfD Niedersachsen) imposed a fine of EUR 10,4 million on the electronics retailer notebooksbilliger.de.The company had video-monitored its employees for at least two years without having a legal basis for doing so. Among others, the cameras covered workplaces, sales areas, warehouses and recreation areas. The company stated that the purpose of the installed video cameras was to prevent and investigate criminal acts and to track the movement of goods in the warehouses. However, to prevent theft, a company must first consider milder methods. Moreover, video surveillance to detect criminal acts is only permitted if there is a reasonable suspicion against specific persons. If this is the case, it may be permissible to monitor them with cameras for a limited period of time. At notebooksbilliger.de, however, the video surveillance was neither limited to a specific period nor to specific employees. In addition, the recordings were stored for 60 days in many cases, which was significantly longer than required. Customers of notebooksbilliger.de were also affected by the unlawful video surveillance, as some cameras were pointed at seating areas in the sales area. So far, the fine against notebooksbilliger.de is the highest fine that the LfD Niedersachen has issued under the GDPR.;https://lfd.niedersachsen.de/startseite/infothek/presseinformationen/lfd-niedersachsen-verhangt-bussgeld-uber-10-4-millionen-euro-gegen-notebooksbilliger-de-196019.html
520;Italian Data Protection Authority (Garante);Italy;29.10.20;20000;Gaypa s.r.l.;Yes;Gaypa Srl;Italy;Chemicals;9500000;50;Private;Yes;Art. 5 (1) a), c), e) GDPR, Art. 12 GDPR, Art. 13 GDPR;Non-compliance with general data processing principles;The Italian DPA (Garante) imposed a fine of EUR 20,000 on Gaypa s.r.l.. The controller had kept a former employee's email account active and had access to the data subject's correspondence, despite the termination of his/her employment. The data subject had not been informed about such a further use of his/her e-mail account, as well as about the storage of all incoming and outgoing e-mails on the company servers and the related processing of his/her personal data.;https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9518890
521;Italian Data Protection Authority (Garante);Italy;29.10.20;4000;Borgo Fonte Scura s.r.l.;Yes;Borgo Fonte Scura s.r.l.;Italy;Restaurants, Cafes & Bars;NA;NA;Private;Yes;Art. 5 (1) a) GDPR, Art. 13 GDPR;Insufficient legal basis for data processing;The Italian DPA (Garante) imposed a fine of EUR 4,000 on Borgo Fonte Scura s.r.l.. The controller had installed a video surveillance system which also recorded the three data subjects during their work. The data subjects were not sufficiently informed about the video surveillance and the resulting processing of their personal data.;https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9518849
522;Spanish Data Protection Authority (aepd);Spain;13.01.21;6000000;Caixabank S.A.;Yes;CaixaBank SA;Spain;Banks;10900000000;35434;Public;Yes;Art. 6 GDPR, Art. 13 GDPR, Art. 14 GDPR;Insufficient legal basis for data processing;"The Spanish DPA (AEPD) fined Caixabank S.A. EUR 6,000,000 for violations of Art. 6 GDPR, Art. 13 GDPR and Art. 14 GDPR.         
Customers of the bank were supposed to accept new privacy policies allowing the controller to transfer the customers' personal data to all companies within the CaixaBank Group. At the same time, the data subjects were not given the option of specifically not consenting to this transfer. Instead, if they wished to disagree with the transfer of their data, they were required to send a letter of disagreement to each individual company in the group.

The DPA concluded that the bank had violated its information obligations as set out in Art. 13 GDPR and Art. 14 GDPR, as the information provided to customers under the privacy policy was not consistent, contained imprecise terminology, and did not provide sufficient information on the type of personal data processed and the nature of the processing.  Also, the information on the rights of the data subjects as well as the contact information of the controller were not provided in a consistent manner. 

Furthermore, the DPA notes that the controller had processed its customers' data beyond its legitimate interests, partly without a legal basis, and that the consent it obtained from customers did not meet the requirements of an effective consent. In addition, deficiencies in the company's procedures allowed it to obtain the consent of customers to process their personal data. The DPA further concludes that, as a result, the data was unlawfully transferred to the companies of the CaixaBank Group. This constitutes a violation of Art. 6 GDPR.";https://www.aepd.es/es/documento/ps-00477-2019.pdf
525;Norwegian Supervisory Authority (Datatilsynet);Norway;14.01.21;38600;Coop Finnmark SA;Yes;Coop Finnmark Sa;Norway;Food & Beverage;106000000;427;Private;Yes;Art. 5 (1) a) GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The Norwegian DPA (Datatilsynet) fined Coop Finnmark SA NOK 400,000 (EUR 38,600). The manager of the store in question recorded CCTV footage with a mobile phone and shared the video. The Norwegian DPA states that Coop Finnmark had no legal basis for sharing the CCTV footage. The DPA notes that the case is very serious as the footage showed children, which poses a potentially high risk to their privacy.;https://www.datatilsynet.no/contentassets/5cd2e76bd5d2481f9578ffe721b7e24d/vedtak-om-overtredelsesgebyr-til-coop-finnmark-sa.pdf
527;Polish National Personal Data Protection Office (UODO);Poland;05.01.21;5500;Slaski Uniwersytet Medyczny (Medical University of Silesia);Yes;Slaski Uniwersytet Medyczny W Katowicach;Poland;Education;64900000;3000;Other;Yes;Art. 33 (1) GDPR, Art. 34 (1) GDPR;Insufficient fulfilment of data breach notification obligations;The Polish DPA (UODO) imposed a fine of PLN 25,000 (EUR 5,500) on the Medical University of Silesia. In the course of exams held in the form of videoconferences at the end of May 2020, identification of students took place. Once the exam was completed, the recordings of the exams were available not only to the examinees, but also to other people with access to the system. In addition, any outsider could access the records of the examinations and the data of the examined students presented during identification via a direct link. The University failed to report the data breach to the DPA and notify the data subjects.;https://uodo.gov.pl/decyzje/DKN.5131.6.2020
529;Spanish Data Protection Authority (aepd);Spain;21.01.21;50000;Alterna Operador Integral S.L.;Yes;"	Alterna Operador Integral Sl.";Spain;Wholesale;58000000;36;Private;Yes;Art. 6 (1) b) GDPR;Insufficient legal basis for data processing;The Spanish DPA (AEPD) imposed a fine of EUR 50,000 on Alterna Operador Integral S.L.. A switch of the electricity supplier had taken place without the consent of the data subject. However, the personal data of the data subject were incorporated into the information systems of the controller (the new electricity supplier) without the controller having verified that a valid contract had been concluded. The processing of the data subjects' personal data thus took place without a legal basis.;https://www.aepd.es/es/documento/ps-00232-2020.pdf
530;Norwegian Supervisory Authority (Datatilsynet);Norway;19.01.21;9700;Aquateknikk AS;Yes;Aquateknikk AS;Norway;Industrial;NA;NA;Private;Yes;Art. 5 GPDR, Art. 6 GDPR;Insufficient legal basis for data processing;The Norwegian DPA (Datatilsynet)  fined Aquateknikk AS NOK 100,000 (EUR 9,700). The controller had carried out a credit rating on an individual without there being a customer relationship or other affiliation. The personal data of the data subject was thus processed without a legal basis.;https://www.datatilsynet.no/contentassets/c5f433a97050467497810b9e891d5b83/vedtak-om-palegg-og-overtredelsesgebyr---aquateknikk-as.pdf
531;Italian Data Protection Authority (Garante);Italy;17.12.20;500000;Roma Capitale (Rome Municipality);Yes;Roma Capitale;Italy;Politics & Government;198700000;3590;Other;Yes;Art. 5 (1) a) GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 28 (2), (3) GDPR, Art. 32 GDPR;Non-compliance with general data processing principles;The Italian DPA (Garante) fined the municipality of Rome EUR 500,000 for the unlawful processing of users' and employees' personal data. The municipality of Rome had been using the 'TuPassi' booking system to manage appointments and other services since 2015. In the course of a detailed investigation, the Italian DPA found that the controller had violated several data protection regulations with regard to the processing of personal data of customers and employees with whom they had made appointments. For example, the municipality had not properly informed the data subjects prior to processing their data, nor had it taken appropriate technical and organizational measures to protect the processing.;https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9524175
532;Italian Data Protection Authority (Garante);Italy;17.12.20;40000;Miropass S.r.l.;Yes;Miropass S.r.l.;Italy;IT Services;237792;3;Private;Yes;Art. 5 (1) a), e) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 28 GDPR;Insufficient legal basis for data processing;The Italian DPA (Garante) fined Miropass S.r.l. EUR 40,000. Miropass is the provider of the TuPassi booking system, which among others has been used by the Municipality of Rome since 2015. The booking system enables the booking of appointments both on the website of the controller (www.tupassi.it) as well as via the corresponding app. For this purpose, the company collects and processes the personal data of the users. In the course of its investigation, the Italian DPA found that Miropass, particularly in the context of health data resulting from appointment bookings at health care facilities, had no legal basis for the processing and  violated the principle of storage limitation.;https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9525315
534;Spanish Data Protection Authority (aepd);Spain;21.01.21;75000;Telefonica Moviles Espana, SAU;Yes;Telefónica SA;Spain;Telecommunications;41600000000;112797;Public;Yes;Art. 6 (1) GDPR;Insufficient legal basis for data processing;The Spanish DPA (AEPD) imposed a fine of EUR 75,000 on Telefonica Moviles Espana, SAU. The controller had assigned five telephone lines with five numbers to the data subject as part of a mobile phone contract. One of the numbers was used by her son. When he was no longer able to use the mobile data, he contacted the controller. The controller informed him that the mobile data had been deactivated because the number was no longer in his possession. It turned out that unauthorized third parties had pretended to be the data subject and had the number transferred to a third party without the controller requiring authentication for this. Thereupon the unauthorized third parties had requested and received a replacement SIM card under the pretense of an alleged loss or theft. As a result, the son's SIM card was blocked.;https://www.aepd.es/es/documento/ps-00235-2020.pdf
537;Belgian Data Protection Authority (APD);Belgium;27.01.21;50000;Family Service / N.D.P.K. nv.;Yes;N.D.P.K. nv.;Netherlands;Advertising & Marketing;NA;NA;Private;No;Art. 5 GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 25 GDPR, Art. 28 GDPR;Insufficient legal basis for data processing;The Belgian DPA imposed a fine of EUR 50,000 on Family Service / N.D.P.K. nv. The controller is an advertising agency that, among other things, sends expectant mothers gift boxes containing various discount vouchers, product samples and information about pregnancy and birth. The box items are provided by third parties, to whom the controller subsequently transfers the recipients' contact data for marketing purposes. The consent of the recipients to this transfer and to subsequent advertising measures by the third parties is obtained in advance by the controller for this purpose. A data subject filed a complaint with the Belgian DPA because, although she had revoked her previously given consent, she nevertheless continued to receive advertising calls from third parties to whom the controller had transmitted her data.;https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-04-2021.pdf
538;Polish National Personal Data Protection Office (UODO);Poland;09.12.20;2850;Smart Cities Sp. z o.o.;Yes;Smart Cities Sp. z o.o.;Poland;IT Services;NA;NA;Private;Yes;Art. 31 GDPR, Art. 58 GDPR;Insufficient cooperation with supervisory authority;Fine for failure to comply with an order of the Polish DPA (UODO). The controller failed to provide personal data and other information requested by UODO for investigative purposes.;https://www.uodo.gov.pl/decyzje/DKE.561.13.2020%20
539;Italian Data Protection Authority (Garante);Italy;17.12.20;100000;Azienda Unita Sanitaria Locale Toscana Sud Est;Yes;Azienda Unita' Sanitaria Locale Toscana Sud Est;Italy;Healthcare;137700000;2000;Private;Yes;Art. 5 (1) f) GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 28 GDPR, Art. 30 GDPR, Art. 32 GDPR, Art. 35 GDPR;Non-compliance with general data processing principles;"The Italian DPA (Garante) imposed a fine of EUR 100,000 on Azienda USL Toscana Sud Est. The controller is a company in the healthcare sector that, among other things, launched the so-called 'Sanita di iniziativa' (Health Initiative) program. Within the framework of this program, participating healthcare companies transmit data on chronically ill patients to the controller. On the basis of this data, the controller then develops health plans for the patients.
The Italian DPA notes several violations of data protection provisions related to this program. 
For example, when giving consent to the processing of their data, the data subjects were not adequately informed about how long their data would be stored, what rights they had (in particular their rights of complaint and access), and how exactly their data would be processed and for what purpose. In addition, the controller had not kept a register of processing activities. Finally, the controller had neither implemented adequate technical and organizational measures to protect the processing nor conducted a data protection impact assessment, although this would have been necessary due to the nature of the data processed (health data).";https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9529527
540;Norwegian Supervisory Authority (Datatilsynet);Norway;03.02.21;19300;Cyberbook AS;Yes;Cyberbook AS;Norway;IT Services;NA;25;Private;Yes;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The Norwegian DPA (Datatilsynet) fined Cyberbook AS NOK 200,000 (EUR 19,300) for the illegal automatic forwarding of e-mails from a former employee. The forwarding took place for several months without the data subject being informed.;https://www.datatilsynet.no/regelverk-og-verktoy/lover-og-regler/avgjorelser-fra-datatilsynet/2021/cyberbook-as-far-gebyr/
541;Spanish Data Protection Authority (aepd);Spain;01.02.21;24000;Xfera Moviles S.A.;Yes;Xfera Moviles Sau;Spain;Telecommunications;1500000000;473;Private;Yes;Art. 58 (2) GDPR;Insufficient cooperation with supervisory authority;The Spanish DPA (AEPD) imposed a fine of EUR 40,000 on Xfera Moviles S.A.. The data subject claimed a violation of its right to information to the AEPD. The AEPD then issued a request to the controller to comply with the data subject's request for information within a period of 10 days and to prove this to the AEPD. However, the controller did not comply with the request within the deadline. The original fine of EUR 40,000 was reduced to EUR 24,000 due to immediate payment and acknowledgement of debt by the controller.;https://www.aepd.es/es/documento/ps-00433-2020.pdf
542;Spanish Data Protection Authority (aepd);Spain;01.02.21;3000;IDFINANCE Spain, S.L.;Yes;Idfinance Spain Sa;Spain;Finance & Insurance;61300000;47;Private;Yes;Art. 5 (1) f) GDPR;Insufficient technical and organisational measures to ensure information security;The Spanish DPA (AEPD) imposed a fine of EUR 5,000 on IDFINANCE Spain S.L.. A person had received a debt collection email from IDFinance that contained a link for the payment of an invoice directly through the controller's website. Via the link, the person was able to view the personal data of another customer. The original fine of EUR 5,000 was reduced to EUR 3,000 due to immediate payment and acknowledgement of debt.;https://www.aepd.es/es/documento/ps-00335-2020.pdf
543;Italian Data Protection Authority (Garante);Italy;26.11.20;3000;Charly Mike s.r.l.;Yes;Charly Mike s.r.l.;Italy;Accommodation;567303;23;Private;Yes;Art. 5 (1) a) GDPR, Art. 13 GDPR;Insufficient legal basis for data processing;"The Italian DPA (Garante) imposed a fine of EUR 3,000 on Charly Mike s.r.l.. The controller is the hotel operator of the Hotel Olimpo in Alberobello. Garante received a complaint about the video surveillance system installed in the hotel. During the course of the investigation, it was found that the hotel facility had 17 fixed cameras and one with 360 recording, placed inside and outside the facility, recording both employees and customers. 
The system had been operated without the required signs indicating video surveillance.";https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9533587
544;Spanish Data Protection Authority (aepd);Spain;03.02.21;100000;Iberdrola Clientes;Yes;Iberdrola Clientes Sociedad Anonima.;Spain;Energy;8000000000;623;Private;Yes;Art. 5 (1) d) GDPR, Art. 17 GDPR;Insufficient fulfilment of data subjects rights;The Spanish DPA (AEPD) imposed a fine of EUR 100,000 on Iberdrola Clientes, SAU. The data subject had terminated an existing contract with the controller due to a move and therefore requested the deletion of his/her data. This request was rejected by the controller with reference to outstanding invoices. It turned out that the controller had sent the bills to the old address of the data subject. Even after the data subject informed the controller of the change of address, new notices regarding the deletion request and invoices were sent to the old address.;https://www.aepd.es/es/documento/ps-00220-2020.pdf
546;Spanish Data Protection Authority (aepd);Spain;08.02.21;3000;Patio Ancestral S.L.;Yes;Patio Ancestral S.L.;Spain;Retail & Trade;NA;NA;Private;Yes;Art. 6 GDPR;Insufficient legal basis for data processing;The Spanish DPA (AEPD) imposed a fine of EUR 5,000 on Patio Ancestral S.L.. The complainant worked for a construction company and had carried out some renovation work for the controller. During these works, damage had been caused to the controller's properties. The controller had then sent a letter with claims for damages not only to the complainant but also to the complainant's father, who had previously been employed by the same construction company. However, the father was an uninvolved third party in this case. The Spanish DPA found that the processing of the father's personal data for this reason had taken place without a legal basis. The original fine was reduced to EUR 3,000 due to immediate payment and acknowledgement of debt.;https://www.aepd.es/es/documento/ps-00440-2020.pdf
548;Spanish Data Protection Authority (aepd);Spain;09.02.21;5000;Predase Servicios Integrales S.L.;Yes;Predase Servicios Integrales S.L.;Spain;Services;NA;NA;Private;Yes;Art. 13 GDPR;Insufficient fulfilment of information obligations;The company website did not present a privacy policy on its main page, nor did it provide the information required by Art. 13 GDPR.;https://www.aepd.es/es/documento/ps-00062-2020.pdf
549;Spanish Data Protection Authority (aepd);Spain;11.02.21;24000;Vamavi Phone S.L.;Yes;Vamavi Phone S.L.;Spain;Services;322200;13;Private;Yes;Art. 48 (1) b) LGT, Art. 21 GDPR, Art. 23 LOPDGDD, Art. 28 GDPR;Insufficient fulfilment of data subjects rights;The Spanish DPA (AEPD) imposed a fine of EUR 40,000 on Vamavi Phone S.L.. The data subject had received an advertising call from the controller made on behalf of Vodafone Espana, S.A.U., although the data subject was registered in the Robinson advertising exclusion list. The original fine of EUR 40,000 was reduced to EUR 24,000 due to immediate payment and acknowledgement of debt.;https://www.aepd.es/es/documento/ps-00026-2021.pdf
550;Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP);Romania;10.02.21;1000;ING Bank N.V. Amsterdam - Bucharest office;Yes;ING Groep NV;Netherlands;Banks;27300000000;91411;Public;No;Art. 29 GDPR, Art. 32 (2), (4) GDPR;Insufficient technical and organisational measures to ensure information security;The Romanian DPA (ANSPDCP) imposed a fine of EUR 1,000 on ING Bank N.V. Amsterdam - Bucharest Branch. It was found that the controller had sent files to a contractual partner in order to issue insurance policies. The sent files contained outdated information, as employees of the insurance policy monitoring department had not checked and processed the insurance policies according to the work process, which affected 270 people. Considering these aspects, it was found that the technical and organizational measures taken by the controller were insufficient, which resulted in the breach of confidentiality of personal data.;https://www.dataprotection.ro/?page=Comunicat_Presa_10_/_02_/_21&lang=ro
552;Data Protection Authority of Ireland;Ireland;17.12.20;70000;University College Dublin;Yes;University College Dublin (Dublin);Ireland;Education;121500000;1361;Private;Yes;Art. 5 (1) e), f) GDPR, Art. 32 (1) GDPR, Art. 33 (1) GDPR;Insufficient technical and organisational measures to ensure information security;The Irish DPA (DPC) fined University College Dublin (UCD) EUR 70,000 due to seven personal data breaches. Unauthorized third parties were able to access UCD e-mail accounts, and login credentials for UCD e-mail accounts were posted online.  It was found that the controller did not take appropriate technical and organisational measures to protect data security when processing personal data in its email service.  In addition, the controller stored certain personal data in an email account in a form that allowed identification of the data subjects for longer than necessary for the purpose for which the personal data were processed. Also, the controller did not notify the DPC of a personal data breach in a timely manner.;https://www.dataprotection.ie/sites/default/files/uploads/2021-02/Inquiry%20University%20College%20Dublin_0.pdf
553;Data State Inspectorate (DSI);Latvia;09.02.21;65000;Lursoft IT SIA;Yes;Lursoft IT SIA;Latvia;IT Services;12334000;76;Private;Yes;Art. 6 (1) GDPR;Insufficient legal basis for data processing;The Latvian DPA (DSI) fined Lursoft IT SIA EUR 65,000 for the illegal processing of personal data by publishing documents containing personal data on its website 'www.lursoft.lv'. The DPA found that the controller made parts of the non-public company register, which contained, among other things personal data, publicly available.;https://www.dvi.gov.lv/lv/zinas/datu-valsts-inspekcija-internetveikalam-piemero-eur-15-000-naudas-sodu/
554;Spanish Data Protection Authority (aepd);Spain;12.02.21;120000;Vodafone Espana, SAU;Yes;Vodafone Group Plc;United Kingdom;Telecommunications;43300000000;105000;Public;No;Art. 5 GDPR, Art. 6 GDPR;Insufficient legal basis for data processing;The Spanish DPA (AEPD) imposed a fine of EUR 200,000 on Vodafone Espana, S.A.U. A former customer had received e-mails containing electronic bills even after he had terminated his contract with the controller resulting in a processing of personal data without sufficient legal basis. The data subject states that he still receives e-mails from the controller, although he has already objected to this several times and the controller has already received a fine twice for exactly these facts. The fine imposed this time is this high because the infringement was classified as very serious by the Spanish DPA. Among other things, because this was already the third violation in this matter. The original fine of EUR 200,000 was reduced for both immediate payment and acknowledgement of debt to EUR 120,000.;https://www.aepd.es/es/documento/ps-00430-2020.pdf
